ETF,Financial Status,Market Category,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
N,N,G,N,100,"CinCor Pharma, Inc. - Common Stock",CINC,N
N,N,Q,N,100,Cincinnati Financial Corporation - Common Stock,CINF,N
N,N,S,N,100,Cingulate Inc. - Common Stock,CING,N
N,N,S,N,100,Cingulate Inc. - Warrants,CINGW,N
Y,N,G,N,100,JPMorgan Sustainable Consumption ETF,CIRC,N
N,N,S,N,100,Cerberus Cyber Sentinel Corporation - Common Stock,CISO,N
N,N,G,N,100,Cartica Acquisition Corp - Class A Ordinary Shares,CITE,N
N,N,G,N,100,Cartica Acquisition Corp - Unit,CITEU,N
N,N,G,N,100,Cartica Acquisition Corp - Warrant,CITEW,N
N,N,S,N,100,"Civista Bancshares, Inc.  - Common Stock",CIVB,N
Y,N,G,N,100,VictoryShares Developed Enhanced Volatility Wtd ETF,CIZ,N
N,N,G,N,100,Citizens Holding Company - Common Stock,CIZN,N
N,N,S,N,100,"China Jo-Jo Drugstores, Inc. - Ordinary Shares",CJJD,N
N,N,S,N,100,"Checkpoint Therapeutics, Inc. - Common Stock",CKPT,N
N,N,Q,N,100,Clarus Corporation - Common Stock,CLAR,N
N,N,S,N,100,Chavant Capital Acquisition Corp. - Ordinary Shares,CLAY,N
N,N,S,N,100,Chavant Capital Acquisition Corp. - Unit,CLAYU,N
N,N,S,N,100,Chavant Capital Acquisition Corp. - Warrants,CLAYW,N
N,N,Q,N,100,"Columbia Financial, Inc. - Common Stock",CLBK,N
N,N,Q,N,100,Cellebrite DI Ltd. - Ordinary Shares,CLBT,N
N,N,Q,N,100,Cellebrite DI Ltd. - Warrants,CLBTW,N
N,N,S,N,100,"Celldex Therapeutics, Inc. - Common Stock",CLDX,N
N,N,S,N,100,China Liberal Education Holdings Limited - Ordinary Shares,CLEU,N
N,N,G,N,100,"Clearfield, Inc. - Common Stock",CLFD,N
N,N,G,N,100,CollPlant Biotechnologies Ltd. - Ordinary Shares,CLGN,N
N,N,G,N,100,Clean Earth Acquisitions Corp. - Class A Common Stock,CLIN,N
N,N,G,N,100,Clean Earth Acquisitions Corp. - Right,CLINR,N
N,N,G,N,100,Clean Earth Acquisitions Corp. - Unit,CLINU,N
N,N,G,N,100,Clean Earth Acquisitions Corp. - Warrant,CLINW,N
N,D,S,N,100,ClearSign Technologies Corporation - Common Stock,CLIR,N
N,N,G,N,100,Cellectis S.A. - American Depositary Shares,CLLS,N
N,N,G,N,100,"Climb Global Solutions, Inc. - Common Stock",CLMB,N
N,N,Q,N,100,"Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests",CLMT,N
N,N,Q,N,100,Clean Energy Fuels Corp. - Common Stock,CLNE,N
N,N,S,N,100,Clene Inc. - Common Stock,CLNN,N
N,N,S,N,100,Clene Inc. - Warrant,CLNNW,N
Y,N,G,N,100,BlackRock AAA CLO ETF,CLOA,N
N,N,S,N,100,Clover Leaf Capital Corp. - Class A Common Stock,CLOE,N
N,N,S,N,100,Clover Leaf Capital Corp. - Rights,CLOER,N
N,N,S,N,100,Clover Leaf Capital Corp. - Unit,CLOEU,N
Y,N,G,N,100,Global X Cloud Computing ETF,CLOU,N
N,N,Q,N,100,"Clover Health Investments, Corp.  - Class A Common stock",CLOV,N
N,N,G,N,100,CLPS Incorporation - Common Stock,CLPS,N
N,N,S,N,100,ClearPoint Neuro Inc. - Common Stock,CLPT,N
N,N,S,N,100,"Cellectar Biosciences, Inc. - Common Stock",CLRB,N
N,N,G,N,100,ClimateRock - Class A Ordinary Shares,CLRC,N
N,N,G,N,100,ClimateRock - Right,CLRCR,N
N,N,G,N,100,ClimateRock - Unit,CLRCU,N
N,N,G,N,100,ClimateRock - Warrant,CLRCW,N
Y,N,G,N,100,IQ Chaikin U.S. Large Cap ETF,CLRG,N
N,N,S,N,100,"ClearOne, Inc. - Common Stock",CLRO,N
Y,N,G,N,100,Cabana Target Leading Sector Aggressive ETF,CLSA,N
Y,N,G,N,100,Cabana Target Leading Sector Conservative ETF,CLSC,N
N,N,G,N,100,"Clearside Biomedical, Inc. - Common Stock",CLSD,N
N,N,S,N,100,"CleanSpark, Inc. - Common Stock",CLSK,N
Y,N,G,N,100,Cabana Target Leading Sector Moderate ETF,CLSM,N
N,N,S,N,100,"Catalyst Bancorp, Inc. - common stock",CLST,N
N,D,S,N,100,Clever Leaves Holdings Inc. - Common Shares,CLVR,N
N,N,S,N,100,Clever Leaves Holdings Inc. - Warrant,CLVRW,N
N,N,S,N,100,Euro Tech Holdings Company Limited - Ordinary Shares,CLWT,N
N,D,S,N,100,"Calyxt, Inc. - Common Stock",CLXT,N
N,N,Q,N,100,"CareMax, Inc. - Class A Common Stock",CMAX,N
N,N,Q,N,100,"CareMax, Inc. - Warrant",CMAXW,N
N,N,G,N,100,Cambium Networks Corporation - Ordinary Shares,CMBM,N
N,N,G,N,100,Capitalworks Emerging Markets Acquisition Corp - Class A Ordinary Shares,CMCA,N
N,N,G,N,100,Capitalworks Emerging Markets Acquisition Corp - Unit,CMCAU,N
N,N,G,N,100,Capitalworks Emerging Markets Acquisition Corp - Warrant,CMCAW,N
N,N,Q,N,100,Columbus McKinnon Corporation - Common Stock,CMCO,N
N,N,Q,N,100,Comcast Corporation - Class A Common Stock,CMCSA,N
N,N,G,N,100,Creative Media & Community Trust Corporation - Common Stock,CMCT,N
N,N,G,N,100,Creative Media & Community Trust Corporation - Series L Preferred Stock,CMCTP,N
N,N,Q,N,100,CME Group Inc. - Class A Common Stock,CME,N
N,N,G,N,100,Cumulus Media Inc. - Class A Common Stock,CMLS,N
N,N,S,N,100,Chemomab Therapeutics Ltd.  - American Depositary Shares,CMMB,N
N,N,S,N,100,Clearmind Medicine Inc. - Common Shares,CMND,N
N,N,G,N,100,"CompoSecure, Inc.  - Class A Common Stock",CMPO,N
N,N,G,N,100,"CompoSecure, Inc.  - Warrant",CMPOW,N
N,N,Q,N,100,Cimpress plc - Ordinary Shares,CMPR,N
N,N,Q,N,100,COMPASS Pathways Plc - American Depository Shares,CMPS,N
N,N,S,N,100,"Compass Therapeutics, Inc. - Common Stock",CMPX,N
N,D,S,N,100,"Comera Life Sciences Holdings, Inc. - Common stock",CMRA,N
N,D,S,N,100,"Comera Life Sciences Holdings, Inc. - Warrant",CMRAW,N
N,N,G,N,100,"Chimerix, Inc. - Common Stock",CMRX,N
N,N,Q,N,100,Comtech Telecommunications Corp. - Common Stock,CMTL,N
N,N,G,N,100,"Concert Pharmaceuticals, Inc. - Common Stock",CNCE,N
Y,N,G,N,100,Loncar Cancer Immunotherapy ETF,CNCR,N
N,N,Q,N,100,Conduent Incorporated - Common Stock,CNDT,N
N,D,S,N,100,ZW Data Action Technologies Inc. - Common Stock,CNET,N
N,N,S,N,100,CN Energy Group Inc. - Class A Ordinary Shares,CNEY,N
N,N,G,N,100,"Conifer Holdings, Inc. - Common Stock",CNFR,N
N,N,G,N,100,"Conifer Holdings, Inc. - Senior Unsecured Notes",CNFRL,N
N,N,G,N,100,Canna-Global Acquisition Corp - Class A Common Stock,CNGL,N
N,N,G,N,100,Canna-Global Acquisition Corp - Unit,CNGLU,N
N,N,G,N,100,Canna-Global Acquisition Corp - Warrant,CNGLW,N
N,N,S,N,100,"Cincinnati Bancorp, Inc. - Common Stock",CNNB,N
N,N,Q,N,100,"ConnectOne Bancorp, Inc. - Common Stock",CNOB,N
N,N,Q,N,100,"ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)",CNOBP,N
N,N,Q,N,100,"Consolidated Communications Holdings, Inc. - Common Stock",CNSL,N
N,N,S,N,100,"CNS Pharmaceuticals, Inc. - Common Stock",CNSP,N
N,N,Q,N,100,Centessa Pharmaceuticals plc - American Depositary Shares,CNTA,N
N,D,G,N,100,Connect Biopharma Holdings Limited - American Depositary Shares,CNTB,N
N,D,G,N,100,Centogene N.V. - Common Shares,CNTG,N
N,N,S,N,100,Context Therapeutics Inc. - Common Stock,CNTX,N
N,N,S,N,100,"Century Casinos, Inc. - Common Stock",CNTY,N
N,H,S,N,100,Connexa Sports Technologies Inc. - Common Stock,CNXA,N
N,N,Q,N,100,Concentrix Corporation - Common Stock,CNXC,N
N,N,Q,N,100,"PC Connection, Inc. - Common Stock",CNXN,N
N,N,Q,N,100,"The Vita Coco Company, Inc. - Common Stock",COCO,N
N,N,S,N,100,"Cocrystal Pharma, Inc. - Common Stock",COCP,N
N,N,S,N,100,"Coda Octopus Group, Inc. - Common stock",CODA,N
N,N,S,N,100,"Co-Diagnostics, Inc. - Common Stock",CODX,N
N,D,G,N,100,"Coeptis Therapeutics Holdings, Inc. - Common Stock",COEP,N
N,D,G,N,100,"Coeptis Therapeutics Holdings, Inc. - Warrants",COEPW,N
N,N,S,N,100,"ChoiceOne Financial Services, Inc. - Common Stock",COFS,N
N,N,Q,N,100,"Cogent Biosciences, Inc. - Common Stock",COGT,N
N,N,Q,N,100,Coherent Corp. - Common Stock,COHR,N
N,N,Q,N,100,"Cohu, Inc. - Common Stock",COHU,N
N,N,Q,N,100,"Coinbase Global, Inc. - Class A Common Stock",COIN,N
N,N,Q,N,100,"Coca-Cola Consolidated, Inc. - Common Stock",COKE,N
N,N,Q,N,100,"Columbia Banking System, Inc. - Common Stock",COLB,N
N,N,Q,N,100,"Collegium Pharmaceutical, Inc. - Common Stock",COLL,N
N,N,Q,N,100,Columbia Sportswear Company - Common Stock,COLM,N
N,N,Q,N,100,"CommScope Holding Company, Inc. - Common Stock",COMM,N
N,H,S,N,100,ComSovereign Holding Corp. - Common Stock,COMS,N
N,E,S,N,100,ComSovereign Holding Corp. - 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock,COMSP,N
N,E,S,N,100,ComSovereign Holding Corp. - Warrants,COMSW,N
Y,N,G,N,100,iShares GSCI Commodity Dynamic Roll Strategy ETF,COMT,N
Y,N,G,N,100,GraniteShares 1.5x Long Coinbase Daily ETF,CONL,N
N,N,Q,N,100,"Conn's, Inc. - Common Stock",CONN,N
N,N,S,N,100,CONX Corp. - Class A Common Stock,CONX,N
N,N,S,N,100,CONX Corp. - Unit,CONXU,N
N,N,S,N,100,CONX Corp. - Warrant,CONXW,N
N,N,S,N,100,Corner Growth Acquisition Corp. - Class A Ordinary Shares,COOL,N
N,N,S,N,100,Corner Growth Acquisition Corp. - Unit,COOLU,N
N,N,S,N,100,Corner Growth Acquisition Corp. - Warrant,COOLW,N
N,N,S,N,100,Mr. Cooper Group Inc. - Common Stock,COOP,N
N,N,S,N,100,Corcept Therapeutics Incorporated - Common Stock,CORT,N
N,N,S,N,100,Cosmos Health Inc. - Common Stock,COSM,N
N,N,Q,N,100,Costco Wholesale Corporation - Common Stock,COST,N
N,N,Q,N,100,Coupa Software Incorporated - Common Stock,COUP,N
Y,N,G,N,100,Pacer US Large Cap Cash Cows Growth Leaders ETF,COWG,N
N,N,Q,N,100,Cowen Inc. - Class A Common Stock,COWN,N
N,N,Q,N,100,Cowen Inc. - 7.75% Senior Notes due 2033,COWNL,N
N,N,S,N,100,"Coya Therapeutics, Inc. - Common Stock",COYA,N
N,N,S,N,100,Conyers Park III Acquisition Corp. - Class A Common Stock,CPAA,N
N,N,S,N,100,Conyers Park III Acquisition Corp. - Unit,CPAAU,N
N,N,S,N,100,Conyers Park III Acquisition Corp. - Warrants,CPAAW,N
N,N,G,N,100,Counter Press Acquisition Corporation - Class A Ordinary Shares,CPAQ,N
N,N,G,N,100,Counter Press Acquisition Corporation - Unit,CPAQU,N
N,N,G,N,100,Counter Press Acquisition Corporation - Warrant,CPAQW,N
N,N,S,N,100,Catalyst Partners Acquisition Corp. - Class A Ordinary Share,CPAR,N
N,N,S,N,100,Catalyst Partners Acquisition Corp. - Unit,CPARU,N
N,N,S,N,100,Catalyst Partners Acquisition Corp. - Warrant,CPARW,N
N,N,G,N,100,Canterbury Park Holding Corporation - Common Stock,CPHC,N
N,N,Q,N,100,Cumberland Pharmaceuticals Inc. - Common Stock,CPIX,N
N,N,Q,N,100,Capital Product Partners L.P. - common units representing limited partner interests,CPLP,N
N,D,G,N,100,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",CPOP,N
N,N,Q,N,100,"Copart, Inc. - Common Stock",CPRT,N
N,N,S,N,100,"Catalyst Pharmaceuticals, Inc. - Common Stock",CPRX,N
N,N,S,N,100,CPS Technologies Corp. - Common Stock,CPSH,N
N,N,Q,N,100,"Computer Programs and Systems, Inc. - Common Stock",CPSI,N
N,N,G,N,100,"Consumer Portfolio Services, Inc. - Common Stock",CPSS,N
N,N,S,N,100,"Cepton, Inc. - Common Stock",CPTN,N
N,N,S,N,100,"Cepton, Inc. - Warrant",CPTNW,N
N,N,Q,N,100,Calamos Long/Short Equity & Dynamic Income Trust - Common Stock,CPZ,N
N,N,Q,N,100,"CRA International,Inc. - Common Stock",CRAI,N
N,D,S,N,100,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",CRBP,N
N,N,Q,N,100,"Caribou Biosciences, Inc. - Common Stock",CRBU,N
N,N,Q,N,100,"Cricut, Inc. - Class A common stock",CRCT,N
N,N,S,N,100,"Cardiff Oncology, Inc. - Common Stock",CRDF,N
N,D,S,N,100,Cardiol Therapeutics Inc. - Class A Common Shares,CRDL,N
N,N,Q,N,100,Credo Technology Group Holding Ltd - Ordinary Shares,CRDO,N
N,N,G,N,100,Crescera Capital Acquisition Corp - Class A Ordinary Shares,CREC,N
N,N,G,N,100,Crescera Capital Acquisition Corp - Unit,CRECU,N
N,N,G,N,100,Crescera Capital Acquisition Corp - Warrant,CRECW,N
N,N,S,N,100,Smart Powerr Corp. - Common Stock,CREG,N
N,N,S,N,100,Cresud S.A.C.I.F. y A. - Warrant,CRESW,N
N,N,Q,N,100,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",CRESY,N
N,D,S,N,100,"Creative Realities, Inc. - Common Stock",CREX,N
N,N,S,N,100,"Creative Realities, Inc. - Warrant",CREXW,N
N,N,G,N,100,"Charge Enterprises, Inc. - Common Stock",CRGE,N
N,D,G,N,100,"Curis, Inc. - Common Stock",CRIS,N
N,D,S,N,100,Crown Electrokinetics Corp. - Common Stock,CRKN,N
N,N,G,N,100,CorMedix Inc. - Common Stock,CRMD,N
N,N,Q,N,100,"America's Car-Mart, Inc. - Common Stock",CRMT,N
N,N,Q,N,100,Cerence Inc. - Common Stock,CRNC,N
N,N,Q,N,100,Ceragon Networks Ltd. - Ordinary Shares,CRNT,N
N,N,Q,N,100,"Crinetics Pharmaceuticals, Inc. - Common Stock",CRNX,N
N,N,G,N,100,Cronos Group Inc. - Common Share,CRON,N
N,N,Q,N,100,"Crocs, Inc. - Common Stock",CROX,N
N,N,G,N,100,CRISPR Therapeutics AG - Common Shares,CRSP,N
N,N,Q,N,100,"Corsair Gaming, Inc. - Common Stock",CRSR,N
N,N,Q,N,100,Criteo S.A. - American Depositary Shares,CRTO,N
N,N,Q,N,100,"Cirrus Logic, Inc. - Common Stock",CRUS,N
N,N,Q,N,100,CorVel Corp. - Common Stock,CRVL,N
N,D,G,N,100,"Corvus Pharmaceuticals, Inc. - Common Stock",CRVS,N
N,N,Q,N,100,"CrowdStrike Holdings, Inc. - Class A Common Stock",CRWD,N
N,N,S,N,100,"Crown Crafts, Inc. - Common Stock",CRWS,N
N,N,S,N,100,Corazon Capital V838 Monoceros Corp - Class A Ordinary Shares,CRZN,N
N,N,S,N,100,Corazon Capital V838 Monoceros Corp - Unit,CRZNU,N
N,N,S,N,100,Corazon Capital V838 Monoceros Corp - Warrant,CRZNW,N
Y,N,G,N,100,VictoryShares US Small Cap Volatility Wtd ETF,CSA,N
Y,N,G,N,100,VictoryShares US Small Cap High Div Volatility Wtd ETF,CSB,N
N,N,S,N,100,"Champions Oncology, Inc. - Common Stock",CSBR,N
N,N,Q,N,100,"Cisco Systems, Inc. - Common Stock",CSCO,N
Y,N,G,N,100,VictoryShares US Discovery Enhanced Volatility Wtd ETF,CSF,N
N,N,Q,N,100,"CoStar Group, Inc. - Common Stock",CSGP,N
N,N,Q,N,100,"CSG Systems International, Inc. - Common Stock",CSGS,N
N,N,Q,N,100,"Cardiovascular Systems, Inc. - Common Stock",CSII,N
N,N,Q,N,100,Canadian Solar Inc. - Common Shares,CSIQ,N
N,N,G,N,100,"Consilium Acquisition Corp I, Ltd. - Class A Ordinary Share",CSLM,N
N,N,G,N,100,"Consilium Acquisition Corp I, Ltd. - Right",CSLMR,N
N,N,G,N,100,"Consilium Acquisition Corp I, Ltd. - Unit",CSLMU,N
N,N,G,N,100,"Consilium Acquisition Corp I, Ltd. - Warrant",CSLMW,N
Y,N,G,N,100,IQ Chaikin U.S. Small Cap ETF,CSML,N
N,N,G,N,100,CSP Inc. - Common Stock,CSPI,N
N,N,Q,N,100,Calamos Strategic Total Return Fund - Common Stock,CSQ,N
N,N,G,N,100,"Chicken Soup for the Soul Entertainment, Inc. - Class A Common Stock",CSSE,N
N,N,G,N,100,"Chicken Soup for the Soul Entertainment, Inc. - Warrant",CSSEL,N
N,N,G,N,100,"Chicken Soup for the Soul Entertainment, Inc. - 9.50% Notes due 2025",CSSEN,N
N,N,G,N,100,"Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",CSSEP,N
N,N,Q,N,100,Caesarstone Ltd. - Ordinary Shares,CSTE,N
N,N,G,N,100,"Castle Biosciences, Inc. - Common stock",CSTL,N
N,N,Q,N,100,"CapStar Financial Holdings, Inc. - Common Stock",CSTR,N
N,N,Q,N,100,Capital Southwest Corporation - Common Stock,CSWC,N
N,N,Q,N,100,"CSW Industrials, Inc. - Common Stock",CSWI,N
N,N,Q,N,100,CSX Corporation - Common Stock,CSX,N
N,N,S,N,100,Carney Technology Acquisition Corp. II - Class A Common Stock,CTAQ,N
N,N,S,N,100,Carney Technology Acquisition Corp. II - Units,CTAQU,N
N,N,S,N,100,Carney Technology Acquisition Corp. II - Warrant,CTAQW,N
N,N,Q,N,100,Cintas Corporation - Common Stock,CTAS,N
N,N,Q,N,100,"Community Trust Bancorp, Inc. - Common Stock",CTBI,N
Y,N,G,N,100,Global X CleanTech ETF,CTEC,N
N,N,Q,N,100,"Computer Task Group, Incorporated - Common Stock",CTG,N
N,D,S,N,100,Charles & Colvard Ltd. - Common Stock,CTHR,N
N,D,S,N,100,Yunhong CTI Ltd. - Common Stock,CTIB,N
N,N,S,N,100,CTI BioPharma Corp. - Common Stock,CTIC,N
N,N,Q,N,100,"Cytek Biosciences, Inc. - Common Stock",CTKB,N
N,N,Q,N,100,"Cantaloupe, Inc. - Common Stock",CTLP,N
N,N,Q,N,100,"CytomX Therapeutics, Inc. - Common Stock",CTMX,N
N,N,S,N,100,Castor Maritime Inc. - Common Shares,CTRM,N
N,N,Q,N,100,"Citi Trends, Inc. - Common Stock",CTRN,N
N,N,Q,N,100,Cognizant Technology Solutions Corporation - Class A Common Stock,CTSH,N
N,N,S,N,100,Cytosorbents Corporation - Common Stock,CTSO,N
N,N,S,N,100,"Citius Pharmaceuticals, Inc. - Common Stock",CTXR,N
N,N,S,N,100,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd",CUBA,N
N,N,S,N,100,"Cue Biopharma, Inc. - Common Stock",CUE,N
N,D,S,N,100,"Cuentas, Inc. - Common Stock",CUEN,N
N,N,S,N,100,"Cuentas, Inc. - Warrant",CUENW,N
N,N,S,N,100,"Cullman Bancorp, Inc. - Common Stock",CULL,N
N,N,S,N,100,CuriosityStream Inc.  - Class A Common Stock,CURI,N
N,N,S,N,100,CuriosityStream Inc.  - Warrant,CURIW,N
N,N,Q,N,100,"Cutera, Inc. - Common Stock",CUTR,N
N,N,G,N,100,CureVac N.V. - Ordinary Shares,CVAC,N
N,N,Q,N,100,CVB Financial Corporation - Common Stock,CVBF,N
N,N,Q,N,100,"Cavco Industries, Inc. - Common Stock",CVCO,N
N,N,S,N,100,Central Valley Community Bancorp - Common Stock,CVCY,N
N,N,Q,N,100,"Commercial Vehicle Group, Inc. - Common Stock",CVGI,N
N,N,Q,N,100,"Calavo Growers, Inc. - Common Stock",CVGW,N
N,N,Q,N,100,"Covenant Logistics Group, Inc. - Class A Common Stock",CVLG,N
N,N,Q,N,100,"Commvault Systems, Inc. - Common Stock",CVLT,N
N,N,G,N,100,"Codorus Valley Bancorp, Inc - Common Stock",CVLY,N
N,N,Q,N,100,"CVRx, Inc. - Common Stock",CVRX,N
N,D,G,N,100,Cvent Holding Corp. - Common Stock,CVT,N
N,N,S,N,100,CVD Equipment Corporation - Common Stock,CVV,N
N,N,G,N,100,Community West Bancshares - Common Stock,CWBC,N
N,N,S,N,100,"CohBar, Inc. - Common Stock",CWBR,N
N,N,Q,N,100,Consolidated Water Co. Ltd. - Ordinary Shares,CWCO,N
N,N,Q,N,100,"Casella Waste Systems, Inc. - Class A Common Stock",CWST,N
N,N,S,N,100,"Crexendo, Inc. - Common Stock",CXDO,N
Y,N,G,N,100,WisdomTree China ex-State-Owned Enterprises Fund,CXSE,N
N,N,G,N,100,Celyad Oncology SA - American Depositary Shares,CYAD,N
N,N,S,N,100,Cyanotech Corporation - Common Stock,CYAN,N
N,N,Q,N,100,CyberArk Software Ltd. - Ordinary Shares,CYBR,N
N,D,S,N,100,"Cyclacel Pharmaceuticals, Inc. - Common Stock",CYCC,N
N,N,S,N,100,"Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock",CYCCP,N
N,D,S,N,100,"Cyclerion Therapeutics, Inc. - Common Stock ",CYCN,N
N,D,S,N,100,Cyngn Inc. - Common stock,CYN,N
N,D,S,N,100,CYREN Ltd. - Ordinary Shares,CYRN,N
N,N,S,N,100,"CryoPort, Inc. - Common Stock",CYRX,N
N,N,Q,N,100,"Cyteir Therapeutics, Inc. - Common Stock",CYT,N
N,N,S,N,100,"Cyclo Therapeutics, Inc. - Common Stock",CYTH,N
N,N,S,N,100,"Cyclo Therapeutics, Inc. - Warrant",CYTHW,N
N,N,Q,N,100,"Cytokinetics, Incorporated - Common Stock",CYTK,N
N,N,S,N,100,Altamira Therapeutics Ltd. - Common Shares,CYTO,N
N,N,Q,N,100,"Cyxtera Technologies, Inc. - Class A Common Stock",CYXT,N
N,N,S,N,100,"Citizens Financial Services, Inc. - Common Stock",CZFS,N
N,N,S,N,100,Citizens & Northern Corp - Common Stock,CZNC,N
N,N,Q,N,100,"Caesars Entertainment, Inc. - Common Stock",CZR,N
N,N,G,N,100,"Citizens Community Bancorp, Inc. - Common Stock",CZWI,N
N,N,Q,N,100,Dada Nexus Limited - American Depositary Shares,DADA,N
N,N,S,N,100,Data I/O Corporation - Common Stock,DAIO,N
N,N,Q,N,100,"Daktronics, Inc. - Common Stock",DAKT,N
Y,N,G,N,100,First Trust Dorsey Wright DALI 1 ETF,DALI,N
N,N,S,N,100,DallasNews Corporation - Series A Common Stock,DALN,N
N,N,S,N,100,DA32 Life Science Tech Acquisition Corp. - Class A Common Stock,DALS,N
Y,N,G,N,100,VanEck Digital Assets Mining ETF,DAM,N
Y,N,G,N,100,VanEck Digital Transformation ETF,DAPP,N
N,D,S,N,100,"Dare Bioscience, Inc. - Common Stock",DARE,N
N,D,S,N,100,"DatChat, Inc. - Common Stock",DATS,N
N,N,S,N,100,"DatChat, Inc. - Series A Warrant",DATSW,N
N,D,G,N,100,Dave Inc.  - Class A Common Stock,DAVE,N
N,N,G,N,100,Dave Inc.  - Warrants,DAVEW,N
N,N,Q,N,100,"Day One Biopharmaceuticals, Inc. - Common Stock",DAWN,N
Y,N,G,N,100,Global X DAX Germany ETF,DAX,N
N,D,S,N,100,"Digital Brands Group, Inc. - Common Stock",DBGI,N
N,D,S,N,100,"Digital Brands Group, Inc. - Warrant",DBGIW,N
N,N,Q,N,100,"Decibel Therapeutics, Inc. - Common Stock",DBTX,N
N,N,Q,N,100,DBV Technologies S.A. - American Depositary Shares,DBVT,N
N,N,Q,N,100,"Dropbox, Inc. - Class A Common Stock",DBX,N
N,N,Q,N,100,Docebo Inc. - Common Shares,DCBO,N
N,N,G,N,100,Tritium DCFC Limited - Ordinary Shares,DCFC,N
N,N,G,N,100,Tritium DCFC Limited - Warrant,DCFCW,N
N,N,S,N,100,DocGo Inc. - Common Stock,DCGO,N
N,N,Q,N,100,"Dime Community Bancshares, Inc. - Common Stock",DCOM,N
N,N,Q,N,100,"Dime Community Bancshares, Inc. - Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",DCOMP,N
N,N,Q,N,100,"Deciphera Pharmaceuticals, Inc. - Common Stock",DCPH,N
N,N,S,N,100,Decarbonization Plus Acquisition Corporation IV - Class A Ordinary Share,DCRD,N
N,N,S,N,100,Decarbonization Plus Acquisition Corporation IV - Unit,DCRDU,N
N,N,S,N,100,Decarbonization Plus Acquisition Corporation IV - Warrant,DCRDW,N
N,N,Q,N,100,"Duck Creek Technologies, Inc. - Common Stock",DCT,N
N,D,S,N,100,"Delcath Systems, Inc. - Common Stock",DCTH,N
N,N,Q,N,100,"DoubleDown Interactive Co., Ltd. - American Depository Shares",DDI,N
Y,N,G,N,100,First Trust Dorsey Wright Momentum & Dividend ETF,DDIV,N
N,N,Q,N,100,"Datadog, Inc. - Class A Common Stock",DDOG,N
N,N,G,N,100,Denali Capital Acquisition Corp. - Class A Ordinary Shares,DECA,N
N,N,G,N,100,Denali Capital Acquisition Corp. - Unit,DECAU,N
N,N,G,N,100,Denali Capital Acquisition Corp. - Warrant,DECAW,N
Y,N,G,N,100,Democratic Large Cap Core ETF,DEMZ,N
N,N,S,N,100,Denny's Corporation - Common Stock,DENN,N
N,N,S,N,100,Journey Medical Corporation - Common Stock,DERM,N
N,N,S,N,100,Diffusion Pharmaceuticals Inc. - Common Stock,DFFN,N
N,N,G,N,100,Dragonfly Energy Holdings Corp - Common Stock,DFLI,N
N,N,S,N,100,Dragonfly Energy Holdings Corp - Warrant,DFLIW,N
N,D,S,N,100,Digihost Technology Inc. - Common Subordinate Voting Shares,DGHI,N
N,N,Q,N,100,"Donegal Group, Inc. - Class A Common Stock",DGICA,N
N,N,Q,N,100,"Donegal Group, Inc. - Class B Common Stock",DGICB,N
N,N,Q,N,100,Digi International Inc. - Common Stock,DGII,N
N,D,S,N,100,"Digital Ally, Inc. - Common Stock",DGLY,N
N,N,S,N,100,Dragoneer Growth Opportunities Corp. III - Class A Ordinary Shares,DGNU,N
Y,N,G,N,100,WisdomTree Emerging Markets Quality Dividend Growth Fund,DGRE,N
Y,N,G,N,100,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,DGRS,N
Y,N,G,N,100,WisdomTree U.S. Quality Dividend Growth Fund,DGRW,N
N,N,Q,N,100,Definitive Healthcare Corp. - Class A Common Stock,DH,N
N,N,G,N,100,Digital Health Acquisition Corp. - Common Stock,DHAC,N
N,N,G,N,100,Digital Health Acquisition Corp. - Unit,DHACU,N
N,N,G,N,100,Digital Health Acquisition Corp. - Warrant,DHACW,N
N,N,Q,N,100,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,DHC,N
N,N,S,N,100,DHC Acquisition Corp. - Class A ordinary share,DHCA,N
N,N,S,N,100,DHC Acquisition Corp. - Unit,DHCAU,N
N,N,S,N,100,DHC Acquisition Corp. - Warrant,DHCAW,N
N,N,Q,N,100,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,DHCNI,N
N,N,Q,N,100,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,DHCNL,N
N,N,S,N,100,DiamondHead Holdings Corp. - Class A Common Stock,DHHC,N
N,N,S,N,100,DiamondHead Holdings Corp. - Unit,DHHCU,N
